sentiment,char_length,letters,numbers,spaces,questions,exclamations,others,number_owords,positive_score,negative_score,hashtags,name_mentions,urls,emoji_positive,emoji_negative
0,63.0,48.0,0.0,12.0,0.0,1.0,2.0,10.0,3.0,0.0,0,0,0,0,0
0,30.0,23.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,-3.0,0,0,0,0,0
0,28.0,17.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,0,0,0,0,0
0,62.0,45.0,0.0,13.0,0.0,0.0,4.0,12.0,3.0,-2.0,0,0,0,0,0
0,36.0,29.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,-3.0,0,0,0,0,0
0,48.0,36.0,0.0,11.0,0.0,0.0,1.0,11.0,0.0,0.0,0,0,0,0,0
0,14.0,11.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,-3.0,0,0,0,0,0
0,136.0,104.0,0.0,26.0,0.0,0.0,6.0,23.0,0.0,-4.0,0,0,0,0,0
0,19.0,15.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,-2.0,0,0,0,0,0
0,30.0,24.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0,0,0,0,0
1,31.0,24.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0
0,62.0,46.0,0.0,12.0,1.0,0.0,3.0,12.0,0.0,0.0,0,0,0,0,0
0,35.0,26.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,-2.0,0,0,0,0,0
0,136.0,96.0,0.0,28.0,0.0,0.0,12.0,23.0,0.0,-11.0,0,0,0,0,0
1,98.0,77.0,0.0,16.0,0.0,0.0,5.0,15.0,0.0,0.0,1,0,0,0,0
0,69.0,51.0,0.0,13.0,0.0,2.0,3.0,8.0,2.0,0.0,0,0,0,0,0
0,59.0,47.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,2,0,0,0,0
1,112.0,85.0,0.0,21.0,0.0,1.0,5.0,20.0,9.0,-1.0,0,0,0,0,0
0,31.0,23.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,-2.0,1,0,0,0,0
1,122.0,97.0,1.0,14.0,0.0,0.0,10.0,11.0,6.0,0.0,3,5,0,0,0
1,73.0,64.0,0.0,5.0,0.0,0.0,4.0,4.0,3.0,0.0,4,0,0,0,0
0,38.0,29.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,-2.0,0,0,0,0,0
1,16.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0
0,83.0,66.0,0.0,12.0,1.0,0.0,4.0,11.0,0.0,0.0,1,0,0,0,0
1,98.0,77.0,0.0,16.0,0.0,3.0,2.0,13.0,5.0,0.0,1,1,0,0,0
0,89.0,67.0,2.0,15.0,0.0,1.0,4.0,15.0,19.0,-5.0,1,0,0,0,0
0,77.0,57.0,0.0,15.0,0.0,0.0,5.0,12.0,4.0,0.0,1,0,0,1,0
1,37.0,30.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,1,0,0,0,0
1,129.0,101.0,6.0,10.0,0.0,0.0,12.0,10.0,0.0,0.0,1,8,0,0,0
0,97.0,73.0,0.0,20.0,0.0,0.0,4.0,16.0,1.0,0.0,1,0,0,0,0
1,85.0,56.0,3.0,16.0,0.0,2.0,8.0,16.0,0.0,-6.0,1,0,0,0,0
1,85.0,67.0,0.0,14.0,0.0,1.0,3.0,13.0,2.0,0.0,1,0,0,0,0
0,86.0,67.0,0.0,14.0,0.0,0.0,5.0,13.0,0.0,-3.0,1,0,0,0,0
1,41.0,30.0,0.0,7.0,1.0,1.0,2.0,7.0,0.0,0.0,2,0,0,0,0
1,43.0,35.0,0.0,7.0,0.0,0.0,1.0,5.0,0.0,0.0,1,0,0,0,0
1,126.0,82.0,17.0,19.0,0.0,2.0,6.0,16.0,3.0,0.0,2,0,0,0,0
1,30.0,21.0,0.0,7.0,0.0,0.0,2.0,6.0,0.0,0.0,0,0,0,0,0
0,66.0,49.0,0.0,11.0,1.0,1.0,4.0,10.0,0.0,-3.0,1,0,0,0,0
1,48.0,32.0,0.0,6.0,0.0,0.0,10.0,5.0,0.0,0.0,0,0,0,0,0
1,76.0,45.0,1.0,9.0,2.0,0.0,19.0,8.0,2.0,0.0,0,0,1,0,0
1,9.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0,0,0
0,126.0,96.0,1.0,14.0,1.0,0.0,14.0,14.0,2.0,0.0,4,1,1,1,2
1,142.0,99.0,2.0,29.0,2.0,3.0,7.0,23.0,2.0,0.0,0,0,0,0,0
1,130.0,98.0,0.0,19.0,0.0,1.0,12.0,18.0,3.0,0.0,0,0,0,0,0
0,69.0,53.0,0.0,12.0,0.0,2.0,2.0,11.0,0.0,-2.0,1,0,0,0,0
1,8.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0
1,128.0,86.0,0.0,23.0,0.0,2.0,17.0,18.0,4.0,-1.0,0,0,0,0,1
0,70.0,47.0,2.0,12.0,0.0,0.0,9.0,11.0,2.0,-3.0,0,0,0,1,1
1,73.0,54.0,4.0,14.0,0.0,0.0,1.0,12.0,0.0,0.0,1,0,0,0,0
1,134.0,99.0,2.0,21.0,0.0,0.0,12.0,16.0,1.0,0.0,1,0,1,0,0
0,74.0,51.0,2.0,14.0,0.0,0.0,7.0,13.0,1.0,-1.0,0,0,0,0,0
1,57.0,44.0,0.0,9.0,0.0,0.0,4.0,9.0,6.0,0.0,0,0,0,0,0
1,121.0,94.0,0.0,23.0,0.0,0.0,4.0,21.0,0.0,-2.0,1,1,0,0,0
0,123.0,95.0,0.0,23.0,0.0,0.0,5.0,22.0,0.0,-2.0,0,0,0,0,0
0,78.0,63.0,0.0,13.0,0.0,0.0,2.0,13.0,0.0,-1.0,1,0,0,0,0
1,53.0,39.0,1.0,7.0,0.0,1.0,5.0,6.0,6.0,0.0,0,0,0,0,0
0,113.0,90.0,0.0,19.0,0.0,0.0,4.0,19.0,4.0,-2.0,1,0,0,0,0
1,83.0,56.0,4.0,14.0,0.0,0.0,9.0,9.0,3.0,0.0,1,0,1,0,0
1,96.0,78.0,0.0,15.0,0.0,0.0,3.0,15.0,3.0,0.0,0,1,0,0,0
0,104.0,85.0,2.0,15.0,0.0,0.0,2.0,14.0,0.0,0.0,2,0,0,0,0
0,82.0,61.0,0.0,17.0,1.0,1.0,2.0,16.0,1.0,0.0,1,1,0,0,0
1,104.0,83.0,0.0,18.0,0.0,0.0,3.0,15.0,0.0,-2.0,0,0,0,0,0
1,49.0,40.0,0.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,0,1,0,0,0
0,119.0,85.0,0.0,27.0,0.0,0.0,7.0,22.0,11.0,-5.0,0,0,0,0,0
0,59.0,42.0,0.0,13.0,0.0,0.0,4.0,11.0,0.0,-10.0,0,0,0,0,0
0,93.0,66.0,0.0,19.0,0.0,0.0,8.0,15.0,0.0,0.0,0,0,0,0,0
0,24.0,15.0,0.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,0,0,0,0,0
1,118.0,89.0,0.0,20.0,0.0,0.0,9.0,20.0,4.0,0.0,0,0,0,0,0
0,141.0,108.0,0.0,24.0,0.0,0.0,9.0,19.0,3.0,0.0,0,0,0,0,0
1,102.0,69.0,0.0,19.0,0.0,10.0,4.0,16.0,5.0,0.0,0,0,0,0,0
1,20.0,11.0,0.0,3.0,0.0,0.0,6.0,3.0,10.0,-2.0,0,0,0,0,0
1,92.0,65.0,1.0,13.0,1.0,0.0,12.0,10.0,0.0,0.0,0,0,1,0,0
1,110.0,78.0,0.0,22.0,0.0,0.0,10.0,20.0,3.0,0.0,0,0,0,0,0
0,22.0,12.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,0.0,0,0,0,0,0
1,84.0,63.0,0.0,14.0,0.0,0.0,7.0,14.0,0.0,0.0,0,0,0,0,0
0,47.0,35.0,0.0,10.0,0.0,0.0,2.0,10.0,0.0,-2.0,0,0,0,0,0
0,69.0,51.0,0.0,15.0,0.0,1.0,2.0,14.0,0.0,-15.0,0,0,0,0,0
0,20.0,15.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0,0,0,0,0
0,113.0,85.0,0.0,22.0,0.0,0.0,6.0,19.0,1.0,-2.0,0,0,0,0,0
0,18.0,10.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0,0,0,1,0
1,26.0,15.0,0.0,6.0,3.0,2.0,0.0,3.0,0.0,0.0,0,0,0,0,0
0,72.0,45.0,0.0,21.0,5.0,1.0,0.0,14.0,0.0,0.0,0,0,0,0,0
0,60.0,37.0,0.0,12.0,0.0,0.0,11.0,11.0,0.0,-2.0,0,0,0,0,0
0,79.0,61.0,0.0,13.0,0.0,0.0,5.0,12.0,0.0,-4.0,0,0,0,0,1
0,58.0,44.0,0.0,12.0,0.0,1.0,1.0,11.0,0.0,-6.0,0,0,0,0,0
1,99.0,62.0,2.0,17.0,0.0,10.0,8.0,15.0,4.0,0.0,0,0,0,1,0
0,141.0,108.0,0.0,30.0,0.0,0.0,3.0,25.0,0.0,-9.0,0,0,0,0,0
1,88.0,43.0,0.0,10.0,24.0,2.0,9.0,6.0,2.0,0.0,0,0,1,0,0
0,78.0,58.0,0.0,16.0,0.0,1.0,3.0,15.0,3.0,-3.0,0,1,0,0,0
0,111.0,83.0,0.0,19.0,0.0,1.0,8.0,15.0,0.0,-4.0,0,0,0,0,0
0,54.0,38.0,4.0,10.0,0.0,0.0,2.0,9.0,0.0,-1.0,0,0,0,0,0
1,137.0,99.0,1.0,27.0,0.0,0.0,10.0,25.0,8.0,0.0,0,0,0,0,0
1,50.0,37.0,0.0,10.0,1.0,0.0,2.0,10.0,2.0,-2.0,0,1,0,0,0
0,29.0,18.0,0.0,5.0,0.0,1.0,5.0,5.0,0.0,-2.0,0,1,0,0,0
1,111.0,87.0,0.0,19.0,1.0,0.0,4.0,18.0,3.0,0.0,0,1,0,0,0
1,54.0,38.0,0.0,8.0,0.0,6.0,2.0,8.0,5.0,0.0,0,1,0,0,0
0,27.0,19.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,-2.0,0,0,0,0,0
0,63.0,48.0,0.0,12.0,0.0,1.0,2.0,12.0,5.0,-4.0,0,1,0,0,0
0,108.0,81.0,0.0,21.0,0.0,0.0,6.0,19.0,1.0,0.0,0,0,0,0,1
1,66.0,50.0,0.0,12.0,0.0,0.0,4.0,8.0,3.0,0.0,0,1,0,0,0
1,29.0,23.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0,1,0,0,0
1,39.0,24.0,4.0,6.0,0.0,3.0,2.0,6.0,9.0,0.0,0,1,0,0,0
0,94.0,57.0,0.0,15.0,1.0,0.0,21.0,13.0,1.0,0.0,0,0,0,0,0
0,68.0,54.0,0.0,9.0,0.0,3.0,2.0,9.0,0.0,0.0,0,1,0,0,0
1,82.0,60.0,0.0,15.0,0.0,1.0,6.0,14.0,0.0,0.0,0,1,0,0,0
1,39.0,27.0,0.0,8.0,0.0,0.0,4.0,7.0,6.0,0.0,0,0,0,0,0
0,91.0,58.0,8.0,16.0,0.0,1.0,8.0,13.0,3.0,0.0,0,1,1,0,0
0,137.0,107.0,0.0,25.0,0.0,0.0,5.0,24.0,0.0,-10.0,0,1,0,0,0
0,98.0,75.0,1.0,16.0,0.0,2.0,4.0,15.0,3.0,0.0,0,1,0,0,0
1,128.0,98.0,0.0,21.0,0.0,0.0,9.0,18.0,6.0,0.0,0,1,0,0,0
1,140.0,103.0,1.0,22.0,0.0,2.0,12.0,21.0,0.0,-2.0,0,1,0,0,0
0,30.0,21.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,-3.0,0,1,0,0,0
0,138.0,99.0,3.0,28.0,0.0,0.0,8.0,25.0,0.0,-7.0,0,1,0,0,0
0,138.0,108.0,0.0,21.0,0.0,3.0,6.0,19.0,7.0,0.0,2,1,0,0,0
1,38.0,27.0,0.0,6.0,0.0,0.0,5.0,6.0,1.0,0.0,0,1,0,0,0
1,102.0,78.0,2.0,15.0,0.0,1.0,6.0,15.0,8.0,0.0,0,1,0,0,0
1,96.0,72.0,0.0,15.0,0.0,2.0,7.0,16.0,6.0,0.0,0,1,0,0,0
0,71.0,54.0,2.0,14.0,0.0,0.0,1.0,13.0,2.0,-3.0,0,1,0,0,0
0,90.0,69.0,0.0,16.0,1.0,0.0,4.0,16.0,3.0,-4.0,0,1,0,0,0
1,21.0,15.0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,0,1,0,0,0
1,40.0,29.0,0.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0,0,1,0,0,0
1,15.0,11.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0,1,0,0,0
0,38.0,27.0,2.0,8.0,0.0,0.0,1.0,8.0,2.0,0.0,0,1,0,0,0
1,102.0,69.0,8.0,19.0,0.0,0.0,6.0,18.0,0.0,0.0,0,1,0,0,0
1,50.0,37.0,0.0,8.0,2.0,0.0,3.0,8.0,0.0,0.0,2,1,0,0,0
1,38.0,30.0,0.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,0,1,0,0,0
1,135.0,102.0,7.0,15.0,1.0,0.0,10.0,15.0,0.0,0.0,0,1,1,0,0
1,138.0,106.0,0.0,24.0,0.0,0.0,8.0,22.0,3.0,0.0,0,1,0,0,0
1,31.0,26.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0,1,0,0,0
1,65.0,50.0,3.0,11.0,0.0,0.0,1.0,10.0,0.0,-3.0,0,1,0,0,0
0,129.0,84.0,5.0,31.0,1.0,0.0,8.0,23.0,3.0,0.0,0,1,0,0,0
1,80.0,63.0,2.0,14.0,0.0,0.0,1.0,12.0,5.0,0.0,0,1,0,0,0
1,77.0,58.0,1.0,17.0,0.0,0.0,1.0,16.0,8.0,0.0,0,1,0,0,0
1,57.0,36.0,3.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,0,1,0,0,0
0,95.0,72.0,2.0,15.0,0.0,1.0,5.0,15.0,0.0,0.0,0,1,0,0,0
0,43.0,33.0,2.0,6.0,1.0,0.0,1.0,6.0,0.0,-2.0,0,1,0,0,0
1,137.0,105.0,0.0,24.0,1.0,0.0,7.0,22.0,2.0,-1.0,0,1,0,0,0
0,90.0,71.0,2.0,14.0,1.0,0.0,2.0,14.0,0.0,0.0,0,1,0,0,0
0,43.0,32.0,1.0,8.0,0.0,1.0,1.0,8.0,0.0,0.0,0,1,0,0,0
0,47.0,35.0,0.0,10.0,0.0,0.0,2.0,9.0,0.0,0.0,0,1,0,0,0
0,72.0,42.0,6.0,13.0,0.0,1.0,10.0,13.0,0.0,0.0,0,1,0,0,0
1,71.0,54.0,0.0,14.0,0.0,0.0,3.0,15.0,4.0,-3.0,0,1,0,0,0
0,58.0,46.0,0.0,10.0,0.0,0.0,2.0,9.0,0.0,0.0,0,1,0,1,0
1,86.0,60.0,4.0,17.0,0.0,0.0,5.0,15.0,0.0,-2.0,0,1,0,0,0
0,62.0,44.0,0.0,12.0,2.0,1.0,3.0,12.0,0.0,-1.0,0,1,0,0,0
0,41.0,32.0,0.0,7.0,0.0,0.0,2.0,7.0,2.0,-4.0,0,1,0,0,0
0,89.0,68.0,0.0,19.0,0.0,1.0,1.0,17.0,6.0,0.0,0,1,0,0,0
1,109.0,77.0,1.0,23.0,0.0,0.0,8.0,20.0,6.0,0.0,0,1,0,1,0
1,44.0,33.0,0.0,9.0,0.0,0.0,2.0,8.0,0.0,0.0,0,1,0,0,0
1,40.0,29.0,0.0,7.0,0.0,0.0,4.0,6.0,1.0,0.0,0,1,0,1,0
1,102.0,80.0,0.0,16.0,1.0,2.0,3.0,16.0,4.0,-4.0,0,1,0,0,0
1,64.0,45.0,2.0,12.0,0.0,0.0,5.0,12.0,3.0,0.0,0,1,0,0,0
1,27.0,23.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0,1,0,0,0
0,61.0,47.0,0.0,11.0,0.0,0.0,3.0,9.0,0.0,-4.0,0,1,0,0,0
1,88.0,69.0,0.0,16.0,0.0,1.0,2.0,16.0,15.0,0.0,0,1,0,0,0
1,127.0,92.0,5.0,26.0,0.0,0.0,4.0,25.0,2.0,-4.0,0,1,0,0,0
0,70.0,52.0,0.0,13.0,0.0,0.0,5.0,12.0,0.0,0.0,1,1,0,0,0
0,56.0,39.0,3.0,10.0,0.0,1.0,3.0,11.0,0.0,0.0,0,1,0,0,0
1,110.0,82.0,0.0,23.0,0.0,1.0,4.0,18.0,3.0,0.0,0,1,0,0,0
1,49.0,39.0,0.0,7.0,0.0,1.0,2.0,7.0,6.0,0.0,0,1,0,0,0
1,44.0,32.0,2.0,8.0,1.0,0.0,1.0,8.0,0.0,0.0,0,1,0,0,0
0,48.0,36.0,3.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,0,1,0,0,0
1,61.0,50.0,0.0,9.0,0.0,0.0,2.0,10.0,1.0,0.0,0,1,0,0,0
0,130.0,100.0,0.0,25.0,1.0,0.0,4.0,23.0,0.0,0.0,0,1,0,0,0
0,34.0,27.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,-6.0,0,1,0,0,0
1,99.0,75.0,0.0,18.0,0.0,0.0,6.0,17.0,5.0,0.0,0,1,0,0,0
0,66.0,49.0,0.0,14.0,0.0,0.0,3.0,14.0,0.0,-1.0,0,1,0,0,0
1,137.0,108.0,1.0,21.0,0.0,1.0,6.0,19.0,4.0,0.0,0,1,0,0,0
0,107.0,86.0,0.0,17.0,0.0,0.0,4.0,16.0,8.0,0.0,0,1,0,0,0
1,82.0,69.0,0.0,11.0,0.0,0.0,2.0,11.0,0.0,-4.0,0,1,0,0,0
0,43.0,34.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,0,1,0,0,0
0,63.0,48.0,0.0,13.0,0.0,0.0,2.0,12.0,6.0,0.0,0,1,0,0,0
1,22.0,18.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0,1,0,0,0
1,85.0,68.0,0.0,15.0,0.0,0.0,2.0,12.0,5.0,0.0,0,1,0,0,0
1,48.0,38.0,0.0,8.0,0.0,1.0,1.0,8.0,0.0,0.0,0,1,0,0,0
1,79.0,58.0,3.0,14.0,0.0,1.0,3.0,14.0,0.0,0.0,0,1,0,0,0
1,85.0,69.0,0.0,13.0,0.0,2.0,1.0,12.0,4.0,0.0,0,1,0,0,0
0,41.0,31.0,0.0,6.0,0.0,3.0,1.0,6.0,0.0,0.0,0,1,0,0,0
1,124.0,92.0,2.0,20.0,0.0,3.0,7.0,18.0,2.0,0.0,0,1,0,0,0
0,59.0,47.0,0.0,8.0,0.0,0.0,4.0,7.0,0.0,-1.0,0,1,0,0,0
0,86.0,63.0,0.0,19.0,0.0,0.0,4.0,15.0,4.0,-3.0,0,1,0,0,0
1,110.0,80.0,0.0,20.0,1.0,1.0,8.0,17.0,5.0,0.0,0,1,0,0,0
1,39.0,25.0,1.0,7.0,0.0,1.0,5.0,8.0,2.0,0.0,0,1,0,1,0
1,14.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,0
1,34.0,13.0,0.0,4.0,15.0,0.0,2.0,2.0,0.0,0.0,0,1,0,0,0
1,39.0,30.0,0.0,7.0,1.0,0.0,1.0,7.0,6.0,0.0,0,1,0,0,0
0,82.0,61.0,0.0,18.0,0.0,0.0,3.0,16.0,0.0,-3.0,0,1,0,0,0
1,76.0,57.0,0.0,12.0,0.0,2.0,5.0,12.0,3.0,0.0,0,1,0,0,0
0,16.0,12.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0,1,0,0,0
1,81.0,65.0,0.0,12.0,0.0,0.0,4.0,12.0,0.0,0.0,0,2,0,0,0
1,87.0,65.0,0.0,16.0,2.0,0.0,4.0,17.0,0.0,0.0,0,1,0,0,0
1,64.0,52.0,0.0,10.0,0.0,0.0,2.0,10.0,4.0,0.0,0,1,0,0,0
1,68.0,44.0,0.0,13.0,0.0,2.0,9.0,12.0,7.0,0.0,0,1,0,0,0
1,61.0,50.0,0.0,9.0,0.0,0.0,2.0,9.0,4.0,0.0,0,1,0,0,0
1,69.0,48.0,1.0,14.0,0.0,4.0,2.0,14.0,13.0,0.0,0,1,0,0,0
1,129.0,101.0,0.0,24.0,0.0,1.0,3.0,23.0,3.0,0.0,0,1,0,0,0
1,138.0,104.0,0.0,25.0,0.0,0.0,9.0,21.0,4.0,-2.0,0,1,0,0,0
0,125.0,90.0,0.0,22.0,0.0,0.0,13.0,21.0,2.0,-1.0,0,2,0,0,0
1,40.0,27.0,2.0,8.0,0.0,1.0,2.0,8.0,7.0,0.0,0,1,0,0,0
0,60.0,42.0,2.0,8.0,0.0,0.0,8.0,6.0,0.0,-5.0,0,1,1,0,0
0,138.0,107.0,0.0,23.0,0.0,0.0,8.0,23.0,6.0,-1.0,0,2,0,0,0
0,48.0,39.0,0.0,7.0,0.0,0.0,2.0,7.0,1.0,-2.0,0,1,0,0,0
1,31.0,27.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0,1,0,0,0
1,57.0,46.0,0.0,10.0,0.0,0.0,1.0,10.0,4.0,0.0,0,1,0,0,0
0,94.0,69.0,4.0,19.0,1.0,0.0,1.0,16.0,0.0,-2.0,0,1,0,0,0
1,84.0,67.0,0.0,16.0,0.0,0.0,1.0,14.0,12.0,0.0,0,1,0,0,0
1,32.0,25.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,-3.0,0,1,0,0,0
0,21.0,15.0,0.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0,1,0,0,0
0,66.0,45.0,2.0,13.0,0.0,3.0,3.0,13.0,0.0,0.0,0,1,0,0,0
1,25.0,21.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0,1,0,0,0
0,94.0,73.0,0.0,16.0,1.0,1.0,3.0,15.0,0.0,0.0,0,1,0,0,0
1,136.0,110.0,0.0,22.0,0.0,0.0,4.0,20.0,3.0,-11.0,0,1,0,0,0
0,58.0,44.0,1.0,9.0,0.0,0.0,4.0,8.0,0.0,0.0,0,1,0,1,0
0,83.0,63.0,0.0,14.0,1.0,1.0,4.0,14.0,0.0,0.0,0,1,0,0,0
1,113.0,91.0,0.0,14.0,1.0,2.0,5.0,15.0,2.0,0.0,0,1,0,0,0
1,38.0,32.0,0.0,5.0,0.0,0.0,1.0,5.0,2.0,0.0,0,1,0,0,0
1,51.0,42.0,0.0,7.0,0.0,0.0,2.0,7.0,0.0,0.0,0,1,0,0,0
0,74.0,56.0,0.0,14.0,0.0,0.0,4.0,14.0,0.0,0.0,0,1,0,0,0
1,60.0,44.0,0.0,12.0,1.0,0.0,3.0,11.0,4.0,0.0,0,1,0,0,0
1,106.0,81.0,2.0,21.0,0.0,0.0,2.0,20.0,11.0,0.0,0,1,0,0,0
1,107.0,78.0,0.0,21.0,0.0,0.0,8.0,23.0,7.0,-1.0,0,1,0,0,0
0,110.0,81.0,0.0,22.0,0.0,1.0,6.0,20.0,0.0,0.0,0,1,0,0,0
1,44.0,33.0,0.0,7.0,0.0,1.0,3.0,7.0,0.0,-1.0,0,1,0,0,0
1,112.0,80.0,0.0,22.0,0.0,2.0,8.0,21.0,2.0,-2.0,0,1,0,0,0
1,148.0,116.0,0.0,23.0,0.0,0.0,9.0,22.0,3.0,-1.0,0,1,0,0,0
1,135.0,96.0,13.0,18.0,0.0,0.0,8.0,14.0,1.0,0.0,0,1,0,0,0
0,48.0,34.0,4.0,9.0,0.0,0.0,1.0,8.0,2.0,0.0,0,1,0,0,0
1,134.0,101.0,0.0,21.0,0.0,2.0,10.0,20.0,4.0,0.0,0,1,0,0,0
1,53.0,42.0,0.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0,0,1,0,0,0
1,38.0,29.0,0.0,6.0,0.0,0.0,3.0,4.0,6.0,0.0,0,1,0,0,0
0,114.0,81.0,3.0,25.0,0.0,1.0,4.0,17.0,4.0,-1.0,0,1,0,0,0
0,102.0,76.0,3.0,12.0,0.0,0.0,11.0,12.0,0.0,-2.0,0,2,1,0,0
1,48.0,36.0,0.0,9.0,0.0,0.0,3.0,9.0,1.0,0.0,0,1,0,0,0
0,129.0,96.0,0.0,28.0,0.0,2.0,3.0,23.0,0.0,-1.0,0,1,0,0,0
1,54.0,42.0,0.0,9.0,0.0,0.0,3.0,9.0,6.0,0.0,0,1,0,0,0
1,132.0,106.0,0.0,23.0,0.0,0.0,3.0,23.0,3.0,0.0,0,1,0,0,0
0,50.0,39.0,0.0,10.0,0.0,0.0,1.0,10.0,3.0,-2.0,0,1,0,0,0
1,93.0,69.0,0.0,17.0,0.0,0.0,7.0,15.0,2.0,-2.0,0,1,0,1,0
1,33.0,27.0,0.0,5.0,0.0,0.0,1.0,5.0,2.0,0.0,0,1,0,0,0
1,90.0,72.0,0.0,13.0,0.0,0.0,5.0,12.0,0.0,0.0,0,1,0,0,0
1,135.0,101.0,3.0,26.0,0.0,1.0,4.0,24.0,2.0,0.0,0,1,0,0,0
1,23.0,20.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0,1,0,0,0
0,138.0,105.0,0.0,29.0,0.0,0.0,4.0,26.0,0.0,0.0,0,1,0,0,0
